Year,Country category,Country,Sex category,Sex,Migration label,Origin or Destination,UNIT,VALUE
1997,US,United States,1,Male,4,Emigrants: All destinations,Thousand,2.1
1997,US,United States,1,Male,5,Immigrants: All origins,Thousand,2.7
1997,US,United States,2,Female,1,Net migration,Thousand,2.7
1997,US,United States,2,Female,4,Emigrants: All destinations,Thousand,1.3
1997,US,United States,2,Female,5,Immigrants: All origins,Thousand,4.0
1997,ZZWORX23,Other countries (23),-,Both sexes,1,Net migration,Thousand,2.8
1997,ZZWORX23,Other countries (23),-,Both sexes,4,Emigrants: All destinations,Thousand,6.6
1997,ZZWORX23,Other countries (23),-,Both sexes,5,Immigrants: All origins,Thousand,9.4
1997,ZZWORX23,Other countries (23),1,Male,1,Net migration,Thousand,1.7
1997,ZZWORX23,Other countries (23),1,Male,4,Emigrants: All destinations,Thousand,3.2
1997,ZZWORX23,Other countries (23),1,Male,5,Immigrants: All origins,Thousand,4.9
1997,ZZWORX23,Other countries (23),2,Female,1,Net migration,Thousand,-1.1
1997,ZZWORX23,Other countries (23),2,Female,4,Emigrants: All destinations,Thousand,3.4
1997,ZZWORX23,Other countries (23),2,Female,5,Immigrants: All origins,Thousand,4.5
1997,-,All countries,-,Both sexes,1,Net migration,Thousand,19.2
1997,-,All countries,-,Both sexes,4,Emigrants: All destinations,Thousand,25.3
1997,-,All countries,-,Both sexes,5,Immigrants: All origins,Thousand,44.5
1997,-,All countries,1,Male,1,Net migration,Thousand,9.5
1997,-,All countries,1,Male,4,Emigrants: All destinations,Thousand,12.5
1997,-,All countries,1,Male,5,Immigrants: All origins,Thousand,22.0
1997,-,All countries,2,Female,1,Net migration,Thousand,9.7
1997,-,All countries,2,Female,4,Emigrants: All destinations,Thousand,12.9
1997,-,All countries,2,Female,5,Immigrants: All origins,Thousand,22.6
1997,E1420XIE,EU14 excl Irl (UK & Ireland),-,Both sexes,1,Net migration,Thousand,4.3
1997,E1420XIE,EU14 excl Irl (UK & Ireland),-,Both sexes,4,Emigrants: All destinations,Thousand,3.8
1997,E1420XIE,EU14 excl Irl (UK & Ireland),-,Both sexes,5,Immigrants: All origins,Thousand,8.1
1997,E1420XIE,EU14 excl Irl (UK & Ireland),1,Male,1,Net migration,Thousand,2.1
1997,E1420XIE,EU14 excl Irl (UK & Ireland),1,Male,4,Emigrants: All destinations,Thousand,1.8
1997,E1420XIE,EU14 excl Irl (UK & Ireland),1,Male,5,Immigrants: All origins,Thousand,3.9
1997,E1420XIE,EU14 excl Irl (UK & Ireland),2,Female,1,Net migration,Thousand,-1.9
1997,E1420XIE,EU14 excl Irl (UK & Ireland),2,Female,4,Emigrants: All destinations,Thousand,2.0
1997,E1420XIE,EU14 excl Irl (UK & Ireland),2,Female,5,Immigrants: All origins,Thousand,4.2
1998,GB1,United Kingdom (1),-,Both sexes,1,Net migration,Thousand,10.3
1998,GB1,United Kingdom (1),-,Both sexes,4,Emigrants: All destinations,Thousand,11.8
1998,GB1,United Kingdom (1),-,Both sexes,5,Immigrants: All origins,Thousand,22.1
1998,GB1,United Kingdom (1),1,Male,1,Net migration,Thousand,5.4
1998,GB1,United Kingdom (1),1,Male,4,Emigrants: All destinations,Thousand,6.0
1998,GB1,United Kingdom (1),1,Male,5,Immigrants: All origins,Thousand,11.4
1998,GB1,United Kingdom (1),2,Female,1,Net migration,Thousand,4.8
1998,GB1,United Kingdom (1),2,Female,4,Emigrants: All destinations,Thousand,5.8
1998,GB1,United Kingdom (1),2,Female,5,Immigrants: All origins,Thousand,10.6
1998,US,United States,-,Both sexes,1,Net migration,Thousand,-0.2
1998,US,United States,-,Both sexes,4,Emigrants: All destinations,Thousand,5.3
1998,US,United States,-,Both sexes,5,Immigrants: All origins,Thousand,5.1
1998,US,United States,1,Male,1,Net migration,Thousand,-0.6
1998,US,United States,1,Male,4,Emigrants: All destinations,Thousand,3.3
1998,US,United States,1,Male,5,Immigrants: All origins,Thousand,2.7
1998,US,United States,2,Female,1,Net migration,Thousand,0.4
1998,US,United States,2,Female,4,Emigrants: All destinations,Thousand,2.0
1998,US,United States,2,Female,5,Immigrants: All origins,Thousand,2.4
1998,ZZWORX23,Other countries (23),-,Both sexes,1,Net migration,Thousand,4.1
1998,ZZWORX23,Other countries (23),-,Both sexes,4,Emigrants: All destinations,Thousand,5.6
1998,ZZWORX23,Other countries (23),-,Both sexes,5,Immigrants: All origins,Thousand,9.7
1998,ZZWORX23,Other countries (23),1,Male,1,Net migration,Thousand,2.7
1998,ZZWORX23,Other countries (23),1,Male,4,Emigrants: All destinations,Thousand,2.3
1998,ZZWORX23,Other countries (23),1,Male,5,Immigrants: All origins,Thousand,5.0
1998,ZZWORX23,Other countries (23),2,Female,1,Net migration,Thousand,-1.5
1998,ZZWORX23,Other countries (23),2,Female,4,Emigrants: All destinations,Thousand,3.2
1998,ZZWORX23,Other countries (23),2,Female,5,Immigrants: All origins,Thousand,4.7
1998,-,All countries,-,Both sexes,1,Net migration,Thousand,17.4
1998,-,All countries,-,Both sexes,4,Emigrants: All destinations,Thousand,28.6
1998,-,All countries,-,Both sexes,5,Immigrants: All origins,Thousand,46.0
1998,-,All countries,1,Male,1,Net migration,Thousand,8.8
1998,-,All countries,1,Male,4,Emigrants: All destinations,Thousand,13.9
1998,-,All countries,1,Male,5,Immigrants: All origins,Thousand,22.7
1998,-,All countries,2,Female,1,Net migration,Thousand,8.6
1998,-,All countries,2,Female,4,Emigrants: All destinations,Thousand,14.7
1998,-,All countries,2,Female,5,Immigrants: All origins,Thousand,23.3
1998,E1420XIE,EU14 excl Irl (UK & Ireland),-,Both sexes,1,Net migration,Thousand,3.2
1998,E1420XIE,EU14 excl Irl (UK & Ireland),-,Both sexes,4,Emigrants: All destinations,Thousand,5.9
1998,E1420XIE,EU14 excl Irl (UK & Ireland),-,Both sexes,5,Immigrants: All origins,Thousand,9.1
1998,E1420XIE,EU14 excl Irl (UK & Ireland),1,Male,1,Net migration,Thousand,1.2
1998,E1420XIE,EU14 excl Irl (UK & Ireland),1,Male,4,Emigrants: All destinations,Thousand,2.3
1998,E1420XIE,EU14 excl Irl (UK & Ireland),1,Male,5,Immigrants: All origins,Thousand,3.5
1998,E1420XIE,EU14 excl Irl (UK & Ireland),2,Female,1,Net migration,Thousand,-0.3
1998,E1420XIE,EU14 excl Irl (UK & Ireland),2,Female,4,Emigrants: All destinations,Thousand,3.6
1998,E1420XIE,EU14 excl Irl (UK & Ireland),2,Female,5,Immigrants: All origins,Thousand,5.5
1999,GB1,United Kingdom (1),-,Both sexes,1,Net migration,Thousand,11.1
1999,GB1,United Kingdom (1),-,Both sexes,4,Emigrants: All destinations,Thousand,11.2
1999,GB1,United Kingdom (1),-,Both sexes,5,Immigrants: All origins,Thousand,22.3
1999,GB1,United Kingdom (1),1,Male,1,Net migration,Thousand,6.6
1999,GB1,United Kingdom (1),1,Male,4,Emigrants: All destinations,Thousand,5.2
1999,GB1,United Kingdom (1),1,Male,5,Immigrants: All origins,Thousand,11.8
1999,GB1,United Kingdom (1),2,Female,1,Net migration,Thousand,4.5
1999,GB1,United Kingdom (1),2,Female,4,Emigrants: All destinations,Thousand,6.0
1999,GB1,United Kingdom (1),2,Female,5,Immigrants: All origins,Thousand,10.5
1999,US,United States,-,Both sexes,1,Net migration,Thousand,0.6
1999,US,United States,-,Both sexes,4,Emigrants: All destinations,Thousand,5.3
1999,US,United States,-,Both sexes,5,Immigrants: All origins,Thousand,5.9
1999,US,United States,1,Male,1,Net migration,Thousand,-0.1
1999,US,United States,1,Male,4,Emigrants: All destinations,Thousand,2.9
1999,US,United States,1,Male,5,Immigrants: All origins,Thousand,2.8
1999,US,United States,2,Female,1,Net migration,Thousand,0.6
1999,US,United States,2,Female,4,Emigrants: All destinations,Thousand,2.4
1999,US,United States,2,Female,5,Immigrants: All origins,Thousand,3.0
1999,ZZWORX23,Other countries (23),-,Both sexes,1,Net migration,Thousand,1.0
1999,ZZWORX23,Other countries (23),-,Both sexes,4,Emigrants: All destinations,Thousand,9.5
1999,ZZWORX23,Other countries (23),-,Both sexes,5,Immigrants: All origins,Thousand,10.5
1999,ZZWORX23,Other countries (23),1,Male,1,Net migration,Thousand,0.2
1999,ZZWORX23,Other countries (23),1,Male,4,Emigrants: All destinations,Thousand,5.1
1999,ZZWORX23,Other countries (23),1,Male,5,Immigrants: All origins,Thousand,5.3
1999,ZZWORX23,Other countries (23),2,Female,1,Net migration,Thousand,-0.8
1999,ZZWORX23,Other countries (23),2,Female,4,Emigrants: All destinations,Thousand,4.4
1999,ZZWORX23,Other countries (23),2,Female,5,Immigrants: All origins,Thousand,5.2
1999,-,All countries,-,Both sexes,1,Net migration,Thousand,17.3
1999,-,All countries,-,Both sexes,4,Emigrants: All destinations,Thousand,31.5
1999,-,All countries,-,Both sexes,5,Immigrants: All origins,Thousand,48.9
1999,-,All countries,1,Male,1,Net migration,Thousand,9.0
1999,-,All countries,1,Male,4,Emigrants: All destinations,Thousand,15.5
1999,-,All countries,1,Male,5,Immigrants: All origins,Thousand,24.5
1999,-,All countries,2,Female,1,Net migration,Thousand,8.3
1999,-,All countries,2,Female,4,Emigrants: All destinations,Thousand,16.1
1999,-,All countries,2,Female,5,Immigrants: All origins,Thousand,24.4
1999,E1420XIE,EU14 excl Irl (UK & Ireland),-,Both sexes,1,Net migration,Thousand,4.7
1999,E1420XIE,EU14 excl Irl (UK & Ireland),-,Both sexes,4,Emigrants: All destinations,Thousand,5.5
1999,E1420XIE,EU14 excl Irl (UK & Ireland),-,Both sexes,5,Immigrants: All origins,Thousand,10.2
1999,E1420XIE,EU14 excl Irl (UK & Ireland),1,Male,1,Net migration,Thousand,2.4
1999,E1420XIE,EU14 excl Irl (UK & Ireland),1,Male,4,Emigrants: All destinations,Thousand,2.2
1999,E1420XIE,EU14 excl Irl (UK & Ireland),1,Male,5,Immigrants: All origins,Thousand,4.6
1999,E1420XIE,EU14 excl Irl (UK & Ireland),2,Female,1,Net migration,Thousand,-0.3
1999,E1420XIE,EU14 excl Irl (UK & Ireland),2,Female,4,Emigrants: All destinations,Thousand,3.2
1999,E1420XIE,EU14 excl Irl (UK & Ireland),2,Female,5,Immigrants: All origins,Thousand,5.7
2000,GB1,United Kingdom (1),-,Both sexes,1,Net migration,Thousand,13.6
2000,GB1,United Kingdom (1),-,Both sexes,4,Emigrants: All destinations,Thousand,7.2
2000,GB1,United Kingdom (1),-,Both sexes,5,Immigrants: All origins,Thousand,20.8
2000,GB1,United Kingdom (1),1,Male,1,Net migration,Thousand,7.0
2000,GB1,United Kingdom (1),1,Male,4,Emigrants: All destinations,Thousand,3.4
2000,GB1,United Kingdom (1),1,Male,5,Immigrants: All origins,Thousand,10.4
2000,GB1,United Kingdom (1),2,Female,1,Net migration,Thousand,6.8
2000,GB1,United Kingdom (1),2,Female,4,Emigrants: All destinations,Thousand,3.7
2000,GB1,United Kingdom (1),2,Female,5,Immigrants: All origins,Thousand,10.5
2000,US,United States,-,Both sexes,1,Net migration,Thousand,1.5
2000,US,United States,-,Both sexes,4,Emigrants: All destinations,Thousand,4.0
2000,US,United States,-,Both sexes,5,Immigrants: All origins,Thousand,5.5
2000,US,United States,1,Male,1,Net migration,Thousand,0.7
2000,US,United States,1,Male,4,Emigrants: All destinations,Thousand,2.1
2000,US,United States,1,Male,5,Immigrants: All origins,Thousand,2.8
2000,US,United States,2,Female,1,Net migration,Thousand,0.8
2000,US,United States,2,Female,4,Emigrants: All destinations,Thousand,1.9
2000,US,United States,2,Female,5,Immigrants: All origins,Thousand,2.7
2000,ZZWORX23,Other countries (23),-,Both sexes,1,Net migration,Thousand,4.5
2000,ZZWORX23,Other countries (23),-,Both sexes,4,Emigrants: All destinations,Thousand,10.0
2000,ZZWORX23,Other countries (23),-,Both sexes,5,Immigrants: All origins,Thousand,14.5
2000,ZZWORX23,Other countries (23),1,Male,1,Net migration,Thousand,2.9
2000,ZZWORX23,Other countries (23),1,Male,4,Emigrants: All destinations,Thousand,5.2
2000,ZZWORX23,Other countries (23),1,Male,5,Immigrants: All origins,Thousand,8.1
2000,ZZWORX23,Other countries (23),2,Female,1,Net migration,Thousand,-1.6
2000,ZZWORX23,Other countries (23),2,Female,4,Emigrants: All destinations,Thousand,4.8
2000,ZZWORX23,Other countries (23),2,Female,5,Immigrants: All origins,Thousand,6.4
2000,-,All countries,-,Both sexes,1,Net migration,Thousand,26.0
2000,-,All countries,-,Both sexes,4,Emigrants: All destinations,Thousand,26.6
2000,-,All countries,-,Both sexes,5,Immigrants: All origins,Thousand,52.6
2000,-,All countries,1,Male,1,Net migration,Thousand,13.1
2000,-,All countries,1,Male,4,Emigrants: All destinations,Thousand,13.1
2000,-,All countries,1,Male,5,Immigrants: All origins,Thousand,26.2
2000,-,All countries,2,Female,1,Net migration,Thousand,12.9
2000,-,All countries,2,Female,4,Emigrants: All destinations,Thousand,13.5
2000,-,All countries,2,Female,5,Immigrants: All origins,Thousand,26.4
2000,E1420XIE,EU14 excl Irl (UK & Ireland),-,Both sexes,1,Net migration,Thousand,6.2
2000,E1420XIE,EU14 excl Irl (UK & Ireland),-,Both sexes,4,Emigrants: All destinations,Thousand,5.5
2000,E1420XIE,EU14 excl Irl (UK & Ireland),-,Both sexes,5,Immigrants: All origins,Thousand,11.7
2000,E1420XIE,EU14 excl Irl (UK & Ireland),1,Male,1,Net migration,Thousand,2.5
2000,E1420XIE,EU14 excl Irl (UK & Ireland),1,Male,4,Emigrants: All destinations,Thousand,2.4
2000,E1420XIE,EU14 excl Irl (UK & Ireland),1,Male,5,Immigrants: All origins,Thousand,4.9
2000,E1420XIE,EU14 excl Irl (UK & Ireland),2,Female,1,Net migration,Thousand,3.1
2000,E1420XIE,EU14 excl Irl (UK & Ireland),2,Female,4,Emigrants: All destinations,Thousand,3.1
2000,E1420XIE,EU14 excl Irl (UK & Ireland),2,Female,5,Immigrants: All origins,Thousand,6.8
2001,GB1,United Kingdom (1),-,Both sexes,1,Net migration,Thousand,12.8
2001,GB1,United Kingdom (1),-,Both sexes,4,Emigrants: All destinations,Thousand,7.8
2001,GB1,United Kingdom (1),-,Both sexes,5,Immigrants: All origins,Thousand,20.6
2001,GB1,United Kingdom (1),1,Male,1,Net migration,Thousand,6.8
2001,GB1,United Kingdom (1),1,Male,4,Emigrants: All destinations,Thousand,3.4
2001,GB1,United Kingdom (1),1,Male,5,Immigrants: All origins,Thousand,10.2
2001,GB1,United Kingdom (1),2,Female,1,Net migration,Thousand,6.0
2001,GB1,United Kingdom (1),2,Female,4,Emigrants: All destinations,Thousand,4.4
2001,GB1,United Kingdom (1),2,Female,5,Immigrants: All origins,Thousand,10.4
2001,US,United States,-,Both sexes,1,Net migration,Thousand,3.3
2001,US,United States,-,Both sexes,4,Emigrants: All destinations,Thousand,3.4
2001,US,United States,-,Both sexes,5,Immigrants: All origins,Thousand,6.7
2001,US,United States,1,Male,1,Net migration,Thousand,0.7
2001,US,United States,1,Male,4,Emigrants: All destinations,Thousand,2.0
2001,US,United States,1,Male,5,Immigrants: All origins,Thousand,2.7
2001,US,United States,2,Female,1,Net migration,Thousand,2.5
2001,US,United States,2,Female,4,Emigrants: All destinations,Thousand,1.5
2001,US,United States,2,Female,5,Immigrants: All origins,Thousand,4.0
2001,ZZWORX23,Other countries (23),-,Both sexes,1,Net migration,Thousand,12.0
2001,ZZWORX23,Other countries (23),-,Both sexes,4,Emigrants: All destinations,Thousand,9.5
2001,ZZWORX23,Other countries (23),-,Both sexes,5,Immigrants: All origins,Thousand,21.5
2001,ZZWORX23,Other countries (23),1,Male,1,Net migration,Thousand,7.0
2001,ZZWORX23,Other countries (23),1,Male,4,Emigrants: All destinations,Thousand,5.2
2001,ZZWORX23,Other countries (23),1,Male,5,Immigrants: All origins,Thousand,12.2
2001,ZZWORX23,Other countries (23),2,Female,1,Net migration,Thousand,-5.0
2001,ZZWORX23,Other countries (23),2,Female,4,Emigrants: All destinations,Thousand,4.3
2001,ZZWORX23,Other countries (23),2,Female,5,Immigrants: All origins,Thousand,9.3
2001,-,All countries,-,Both sexes,1,Net migration,Thousand,32.8
2001,-,All countries,-,Both sexes,4,Emigrants: All destinations,Thousand,26.2
2001,-,All countries,-,Both sexes,5,Immigrants: All origins,Thousand,59.0
2001,-,All countries,1,Male,1,Net migration,Thousand,17.5
2001,-,All countries,1,Male,4,Emigrants: All destinations,Thousand,12.6
2001,-,All countries,1,Male,5,Immigrants: All origins,Thousand,30.1
2001,-,All countries,2,Female,1,Net migration,Thousand,15.3
2001,-,All countries,2,Female,4,Emigrants: All destinations,Thousand,13.6
2001,-,All countries,2,Female,5,Immigrants: All origins,Thousand,29.0
2001,E1420XIE,EU14 excl Irl (UK & Ireland),-,Both sexes,1,Net migration,Thousand,4.7
2001,E1420XIE,EU14 excl Irl (UK & Ireland),-,Both sexes,4,Emigrants: All destinations,Thousand,5.6
2001,E1420XIE,EU14 excl Irl (UK & Ireland),-,Both sexes,5,Immigrants: All origins,Thousand,10.3
2001,E1420XIE,EU14 excl Irl (UK & Ireland),1,Male,1,Net migration,Thousand,3.0
2001,E1420XIE,EU14 excl Irl (UK & Ireland),1,Male,4,Emigrants: All destinations,Thousand,2.0
2001,E1420XIE,EU14 excl Irl (UK & Ireland),1,Male,5,Immigrants: All origins,Thousand,5.0
2001,E1420XIE,EU14 excl Irl (UK & Ireland),2,Female,1,Net migration,Thousand,1.0
2001,E1420XIE,EU14 excl Irl (UK & Ireland),2,Female,4,Emigrants: All destinations,Thousand,3.6
2001,E1420XIE,EU14 excl Irl (UK & Ireland),2,Female,5,Immigrants: All origins,Thousand,5.4
2002,GB1,United Kingdom (1),-,Both sexes,1,Net migration,Thousand,11.7
2002,GB1,United Kingdom (1),-,Both sexes,4,Emigrants: All destinations,Thousand,7.4
2002,GB1,United Kingdom (1),-,Both sexes,5,Immigrants: All origins,Thousand,19.1
2002,GB1,United Kingdom (1),1,Male,1,Net migration,Thousand,5.8
2002,GB1,United Kingdom (1),1,Male,4,Emigrants: All destinations,Thousand,3.5
2002,GB1,United Kingdom (1),1,Male,5,Immigrants: All origins,Thousand,9.3
2002,GB1,United Kingdom (1),2,Female,1,Net migration,Thousand,5.9
2002,GB1,United Kingdom (1),2,Female,4,Emigrants: All destinations,Thousand,3.9
2002,GB1,United Kingdom (1),2,Female,5,Immigrants: All origins,Thousand,9.8
2002,US,United States,-,Both sexes,1,Net migration,Thousand,1.8
2002,US,United States,-,Both sexes,4,Emigrants: All destinations,Thousand,4.8
2002,US,United States,-,Both sexes,5,Immigrants: All origins,Thousand,6.6
2002,US,United States,1,Male,1,Net migration,Thousand,0.1
2002,US,United States,1,Male,4,Emigrants: All destinations,Thousand,2.8
2002,US,United States,1,Male,5,Immigrants: All origins,Thousand,2.9
2002,US,United States,2,Female,1,Net migration,Thousand,1.7
2002,US,United States,2,Female,4,Emigrants: All destinations,Thousand,2.0
2002,US,United States,2,Female,5,Immigrants: All origins,Thousand,3.7
2002,ZZWORX23,Other countries (23),-,Both sexes,1,Net migration,Thousand,21.4
2002,ZZWORX23,Other countries (23),-,Both sexes,4,Emigrants: All destinations,Thousand,8.5
2002,ZZWORX23,Other countries (23),-,Both sexes,5,Immigrants: All origins,Thousand,29.9
2002,ZZWORX23,Other countries (23),1,Male,1,Net migration,Thousand,10.2
2002,ZZWORX23,Other countries (23),1,Male,4,Emigrants: All destinations,Thousand,4.2
2002,ZZWORX23,Other countries (23),1,Male,5,Immigrants: All origins,Thousand,14.4
2002,ZZWORX23,Other countries (23),2,Female,1,Net migration,Thousand,11.2
2002,ZZWORX23,Other countries (23),2,Female,4,Emigrants: All destinations,Thousand,4.3
2002,ZZWORX23,Other countries (23),2,Female,5,Immigrants: All origins,Thousand,15.5
2002,-,All countries,-,Both sexes,1,Net migration,Thousand,41.3
2002,-,All countries,-,Both sexes,4,Emigrants: All destinations,Thousand,25.6
2002,-,All countries,-,Both sexes,5,Immigrants: All origins,Thousand,66.9
2002,-,All countries,1,Male,1,Net migration,Thousand,18.6
2002,-,All countries,1,Male,4,Emigrants: All destinations,Thousand,12.7
2002,-,All countries,1,Male,5,Immigrants: All origins,Thousand,31.3
2002,-,All countries,2,Female,1,Net migration,Thousand,22.7
2002,-,All countries,2,Female,4,Emigrants: All destinations,Thousand,12.9
2002,-,All countries,2,Female,5,Immigrants: All origins,Thousand,35.6
2002,E1420XIE,EU14 excl Irl (UK & Ireland),-,Both sexes,1,Net migration,Thousand,6.5
2002,E1420XIE,EU14 excl Irl (UK & Ireland),-,Both sexes,4,Emigrants: All destinations,Thousand,4.8
2002,E1420XIE,EU14 excl Irl (UK & Ireland),-,Both sexes,5,Immigrants: All origins,Thousand,11.3
2002,E1420XIE,EU14 excl Irl (UK & Ireland),1,Male,1,Net migration,Thousand,2.5
2002,E1420XIE,EU14 excl Irl (UK & Ireland),1,Male,4,Emigrants: All destinations,Thousand,2.1
2002,E1420XIE,EU14 excl Irl (UK & Ireland),1,Male,5,Immigrants: All origins,Thousand,4.6
2002,E1420XIE,EU14 excl Irl (UK & Ireland),2,Female,1,Net migration,Thousand,4.0
2002,E1420XIE,EU14 excl Irl (UK & Ireland),2,Female,4,Emigrants: All destinations,Thousand,2.7
2002,E1420XIE,EU14 excl Irl (UK & Ireland),2,Female,5,Immigrants: All origins,Thousand,6.7
2003,GB1,United Kingdom (1),-,Both sexes,1,Net migration,Thousand,7.2
2003,GB1,United Kingdom (1),-,Both sexes,4,Emigrants: All destinations,Thousand,8.6
2003,GB1,United Kingdom (1),-,Both sexes,5,Immigrants: All origins,Thousand,15.8
2003,GB1,United Kingdom (1),1,Male,1,Net migration,Thousand,3.9
2003,GB1,United Kingdom (1),1,Male,4,Emigrants: All destinations,Thousand,5.2
2003,GB1,United Kingdom (1),1,Male,5,Immigrants: All origins,Thousand,9.1
2003,GB1,United Kingdom (1),2,Female,1,Net migration,Thousand,3.2
2003,GB1,United Kingdom (1),2,Female,4,Emigrants: All destinations,Thousand,3.4
2003,GB1,United Kingdom (1),2,Female,5,Immigrants: All origins,Thousand,6.7
2003,US,United States,-,Both sexes,1,Net migration,Thousand,2.5
2003,US,United States,-,Both sexes,4,Emigrants: All destinations,Thousand,2.8
2003,US,United States,-,Both sexes,5,Immigrants: All origins,Thousand,5.3
2003,US,United States,1,Male,1,Net migration,Thousand,1.1
2003,US,United States,1,Male,4,Emigrants: All destinations,Thousand,1.7
2003,US,United States,1,Male,5,Immigrants: All origins,Thousand,2.8
2003,US,United States,2,Female,1,Net migration,Thousand,1.4
2003,US,United States,2,Female,4,Emigrants: All destinations,Thousand,1.1
2003,US,United States,2,Female,5,Immigrants: All origins,Thousand,2.5
2003,ZZWORX23,Other countries (23),-,Both sexes,1,Net migration,Thousand,15.8
2003,ZZWORX23,Other countries (23),-,Both sexes,4,Emigrants: All destinations,Thousand,11.4
2003,ZZWORX23,Other countries (23),-,Both sexes,5,Immigrants: All origins,Thousand,27.2
