STATISTIC,STATISTIC Label,TLIST(A1),Year,C02076V02508,Age Group,C02199V02655,Sex,UNIT,VALUE
PEA01,Population Estimates (Persons in April),1950,1950,610,80 - 84 years,1,Male,Thousand,14.2
PEA01,Population Estimates (Persons in April),1950,1950,610,80 - 84 years,2,Female,Thousand,15.9
PEA01,Population Estimates (Persons in April),1950,1950,630,85 years and over,-,Both sexes,Thousand,13.3
PEA01,Population Estimates (Persons in April),1950,1950,630,85 years and over,1,Male,Thousand,5.5
PEA01,Population Estimates (Persons in April),1950,1950,630,85 years and over,2,Female,Thousand,7.8
PEA01,Population Estimates (Persons in April),1951,1951,205,0 - 4 years,-,Both sexes,Thousand,312.9
PEA01,Population Estimates (Persons in April),1951,1951,205,0 - 4 years,1,Male,Thousand,160
PEA01,Population Estimates (Persons in April),1951,1951,205,0 - 4 years,2,Female,Thousand,152.6
PEA01,Population Estimates (Persons in April),1951,1951,245,5 - 9 years,-,Both sexes,Thousand,281
PEA01,Population Estimates (Persons in April),1951,1951,245,5 - 9 years,1,Male,Thousand,143.5
PEA01,Population Estimates (Persons in April),1951,1951,245,5 - 9 years,2,Female,Thousand,137.6
PEA01,Population Estimates (Persons in April),1951,1951,265,10 - 14 years,-,Both sexes,Thousand,260.9
PEA01,Population Estimates (Persons in April),1951,1951,265,10 - 14 years,1,Male,Thousand,132.7
PEA01,Population Estimates (Persons in April),1951,1951,265,10 - 14 years,2,Female,Thousand,128.2
PEA01,Population Estimates (Persons in April),1951,1951,300,15 - 19 years,-,Both sexes,Thousand,241.2
PEA01,Population Estimates (Persons in April),1951,1951,300,15 - 19 years,1,Male,Thousand,125.7
PEA01,Population Estimates (Persons in April),1951,1951,300,15 - 19 years,2,Female,Thousand,115.4
PEA01,Population Estimates (Persons in April),1951,1951,365,20 - 24 years,-,Both sexes,Thousand,202.2
PEA01,Population Estimates (Persons in April),1951,1951,365,20 - 24 years,1,Male,Thousand,105.4
PEA01,Population Estimates (Persons in April),1951,1951,365,20 - 24 years,2,Female,Thousand,96.8
PEA01,Population Estimates (Persons in April),1951,1951,410,25 - 29 years,-,Both sexes,Thousand,198.4
PEA01,Population Estimates (Persons in April),1951,1951,410,25 - 29 years,1,Male,Thousand,99.6
PEA01,Population Estimates (Persons in April),1951,1951,410,25 - 29 years,2,Female,Thousand,98.8
PEA01,Population Estimates (Persons in April),1951,1951,440,30 - 34 years,-,Both sexes,Thousand,191.6
PEA01,Population Estimates (Persons in April),1951,1951,440,30 - 34 years,1,Male,Thousand,96.4
PEA01,Population Estimates (Persons in April),1951,1951,440,30 - 34 years,2,Female,Thousand,95.1
PEA01,Population Estimates (Persons in April),1951,1951,460,35 - 39 years,-,Both sexes,Thousand,200.9
PEA01,Population Estimates (Persons in April),1951,1951,460,35 - 39 years,1,Male,Thousand,102.3
PEA01,Population Estimates (Persons in April),1951,1951,460,35 - 39 years,2,Female,Thousand,98.6
PEA01,Population Estimates (Persons in April),1951,1951,475,40 - 44 years,-,Both sexes,Thousand,180.3
PEA01,Population Estimates (Persons in April),1951,1951,475,40 - 44 years,1,Male,Thousand,94
PEA01,Population Estimates (Persons in April),1951,1951,475,40 - 44 years,2,Female,Thousand,86.3
PEA01,Population Estimates (Persons in April),1951,1951,495,45 - 49 years,-,Both sexes,Thousand,160.9
PEA01,Population Estimates (Persons in April),1951,1951,495,45 - 49 years,1,Male,Thousand,82.4
PEA01,Population Estimates (Persons in April),1951,1951,495,45 - 49 years,2,Female,Thousand,78.5
PEA01,Population Estimates (Persons in April),1951,1951,515,50 - 54 years,-,Both sexes,Thousand,163
PEA01,Population Estimates (Persons in April),1951,1951,515,50 - 54 years,1,Male,Thousand,82.9
PEA01,Population Estimates (Persons in April),1951,1951,515,50 - 54 years,2,Female,Thousand,80.1
PEA01,Population Estimates (Persons in April),1951,1951,530,55 - 59 years,-,Both sexes,Thousand,128.8
PEA01,Population Estimates (Persons in April),1951,1951,530,55 - 59 years,1,Male,Thousand,65
PEA01,Population Estimates (Persons in April),1951,1951,530,55 - 59 years,2,Female,Thousand,63.8
PEA01,Population Estimates (Persons in April),1951,1951,550,60 - 64 years,-,Both sexes,Thousand,122.1
PEA01,Population Estimates (Persons in April),1951,1951,550,60 - 64 years,1,Male,Thousand,61.3
PEA01,Population Estimates (Persons in April),1951,1951,550,60 - 64 years,2,Female,Thousand,60.7
PEA01,Population Estimates (Persons in April),1951,1951,565,65 - 69 years,-,Both sexes,Thousand,107.5
PEA01,Population Estimates (Persons in April),1951,1951,565,65 - 69 years,1,Male,Thousand,54.1
PEA01,Population Estimates (Persons in April),1951,1951,565,65 - 69 years,2,Female,Thousand,53.4
PEA01,Population Estimates (Persons in April),1951,1951,580,70 - 74 years,-,Both sexes,Thousand,100.1
PEA01,Population Estimates (Persons in April),1951,1951,580,70 - 74 years,1,Male,Thousand,49.1
PEA01,Population Estimates (Persons in April),1951,1951,580,70 - 74 years,2,Female,Thousand,51
PEA01,Population Estimates (Persons in April),1951,1951,595,75 - 79 years,-,Both sexes,Thousand,64.6
PEA01,Population Estimates (Persons in April),1951,1951,595,75 - 79 years,1,Male,Thousand,31.6
PEA01,Population Estimates (Persons in April),1951,1951,595,75 - 79 years,2,Female,Thousand,32.9
PEA01,Population Estimates (Persons in April),1951,1951,610,80 - 84 years,-,Both sexes,Thousand,30.9
PEA01,Population Estimates (Persons in April),1951,1951,610,80 - 84 years,1,Male,Thousand,14.6
PEA01,Population Estimates (Persons in April),1951,1951,610,80 - 84 years,2,Female,Thousand,16.2
PEA01,Population Estimates (Persons in April),1951,1951,630,85 years and over,-,Both sexes,Thousand,13.3
PEA01,Population Estimates (Persons in April),1951,1951,630,85 years and over,1,Male,Thousand,5.5
PEA01,Population Estimates (Persons in April),1951,1951,630,85 years and over,2,Female,Thousand,7.8
PEA01,Population Estimates (Persons in April),1952,1952,205,0 - 4 years,-,Both sexes,Thousand,
PEA01,Population Estimates (Persons in April),1952,1952,205,0 - 4 years,1,Male,Thousand,
PEA01,Population Estimates (Persons in April),1952,1952,205,0 - 4 years,2,Female,Thousand,
PEA01,Population Estimates (Persons in April),1952,1952,245,5 - 9 years,-,Both sexes,Thousand,284.7
PEA01,Population Estimates (Persons in April),1952,1952,245,5 - 9 years,1,Male,Thousand,145.5
PEA01,Population Estimates (Persons in April),1952,1952,245,5 - 9 years,2,Female,Thousand,139.2
PEA01,Population Estimates (Persons in April),1952,1952,265,10 - 14 years,-,Both sexes,Thousand,264.6
PEA01,Population Estimates (Persons in April),1952,1952,265,10 - 14 years,1,Male,Thousand,134.6
PEA01,Population Estimates (Persons in April),1952,1952,265,10 - 14 years,2,Female,Thousand,130
PEA01,Population Estimates (Persons in April),1952,1952,300,15 - 19 years,-,Both sexes,Thousand,239.7
PEA01,Population Estimates (Persons in April),1952,1952,300,15 - 19 years,1,Male,Thousand,125
PEA01,Population Estimates (Persons in April),1952,1952,300,15 - 19 years,2,Female,Thousand,114.7
PEA01,Population Estimates (Persons in April),1952,1952,365,20 - 24 years,-,Both sexes,Thousand,197.8
PEA01,Population Estimates (Persons in April),1952,1952,365,20 - 24 years,1,Male,Thousand,102.8
PEA01,Population Estimates (Persons in April),1952,1952,365,20 - 24 years,2,Female,Thousand,95
PEA01,Population Estimates (Persons in April),1952,1952,410,25 - 29 years,-,Both sexes,Thousand,192.9
PEA01,Population Estimates (Persons in April),1952,1952,410,25 - 29 years,1,Male,Thousand,96.6
PEA01,Population Estimates (Persons in April),1952,1952,410,25 - 29 years,2,Female,Thousand,96.3
PEA01,Population Estimates (Persons in April),1952,1952,440,30 - 34 years,-,Both sexes,Thousand,188.6
PEA01,Population Estimates (Persons in April),1952,1952,440,30 - 34 years,1,Male,Thousand,94.6
PEA01,Population Estimates (Persons in April),1952,1952,440,30 - 34 years,2,Female,Thousand,94
PEA01,Population Estimates (Persons in April),1952,1952,460,35 - 39 years,-,Both sexes,Thousand,197.3
PEA01,Population Estimates (Persons in April),1952,1952,460,35 - 39 years,1,Male,Thousand,99.8
PEA01,Population Estimates (Persons in April),1952,1952,460,35 - 39 years,2,Female,Thousand,97.5
PEA01,Population Estimates (Persons in April),1952,1952,475,40 - 44 years,-,Both sexes,Thousand,181.5
PEA01,Population Estimates (Persons in April),1952,1952,475,40 - 44 years,1,Male,Thousand,94.2
PEA01,Population Estimates (Persons in April),1952,1952,475,40 - 44 years,2,Female,Thousand,87.3
PEA01,Population Estimates (Persons in April),1952,1952,495,45 - 49 years,-,Both sexes,Thousand,163.6
PEA01,Population Estimates (Persons in April),1952,1952,495,45 - 49 years,1,Male,Thousand,83.9
PEA01,Population Estimates (Persons in April),1952,1952,495,45 - 49 years,2,Female,Thousand,79.7
PEA01,Population Estimates (Persons in April),1952,1952,515,50 - 54 years,-,Both sexes,Thousand,160
PEA01,Population Estimates (Persons in April),1952,1952,515,50 - 54 years,1,Male,Thousand,81.6
PEA01,Population Estimates (Persons in April),1952,1952,515,50 - 54 years,2,Female,Thousand,78.4
PEA01,Population Estimates (Persons in April),1952,1952,530,55 - 59 years,-,Both sexes,Thousand,133.8
PEA01,Population Estimates (Persons in April),1952,1952,530,55 - 59 years,1,Male,Thousand,67.6
PEA01,Population Estimates (Persons in April),1952,1952,530,55 - 59 years,2,Female,Thousand,66.2
PEA01,Population Estimates (Persons in April),1952,1952,550,60 - 64 years,-,Both sexes,Thousand,121.2
PEA01,Population Estimates (Persons in April),1952,1952,550,60 - 64 years,1,Male,Thousand,60.7
PEA01,Population Estimates (Persons in April),1952,1952,550,60 - 64 years,2,Female,Thousand,60.5
PEA01,Population Estimates (Persons in April),1952,1952,565,65 - 69 years,-,Both sexes,Thousand,107.9
PEA01,Population Estimates (Persons in April),1952,1952,565,65 - 69 years,1,Male,Thousand,54.4
PEA01,Population Estimates (Persons in April),1952,1952,565,65 - 69 years,2,Female,Thousand,53.5
PEA01,Population Estimates (Persons in April),1952,1952,580,70 - 74 years,-,Both sexes,Thousand,98.8
PEA01,Population Estimates (Persons in April),1952,1952,580,70 - 74 years,1,Male,Thousand,48.4
PEA01,Population Estimates (Persons in April),1952,1952,580,70 - 74 years,2,Female,Thousand,50.4
PEA01,Population Estimates (Persons in April),1952,1952,595,75 - 79 years,-,Both sexes,Thousand,64.9
PEA01,Population Estimates (Persons in April),1952,1952,595,75 - 79 years,1,Male,Thousand,31.8
PEA01,Population Estimates (Persons in April),1952,1952,595,75 - 79 years,2,Female,Thousand,33.1
PEA01,Population Estimates (Persons in April),1952,1952,610,80 - 84 years,-,Both sexes,Thousand,31.3
PEA01,Population Estimates (Persons in April),1952,1952,610,80 - 84 years,1,Male,Thousand,14.8
PEA01,Population Estimates (Persons in April),1952,1952,610,80 - 84 years,2,Female,Thousand,16.5
PEA01,Population Estimates (Persons in April),1952,1952,630,85 years and over,-,Both sexes,Thousand,14
PEA01,Population Estimates (Persons in April),1952,1952,630,85 years and over,1,Male,Thousand,5.9
PEA01,Population Estimates (Persons in April),1952,1952,630,85 years and over,2,Female,Thousand,8.1
PEA01,Population Estimates (Persons in April),1953,1953,205,0 - 4 years,-,Both sexes,Thousand,
PEA01,Population Estimates (Persons in April),1953,1953,205,0 - 4 years,1,Male,Thousand,
PEA01,Population Estimates (Persons in April),1953,1953,205,0 - 4 years,2,Female,Thousand,
PEA01,Population Estimates (Persons in April),1953,1953,245,5 - 9 years,-,Both sexes,Thousand,288.5
PEA01,Population Estimates (Persons in April),1953,1953,245,5 - 9 years,1,Male,Thousand,147.7
PEA01,Population Estimates (Persons in April),1953,1953,245,5 - 9 years,2,Female,Thousand,140.8
PEA01,Population Estimates (Persons in April),1953,1953,265,10 - 14 years,-,Both sexes,Thousand,268.6
PEA01,Population Estimates (Persons in April),1953,1953,265,10 - 14 years,1,Male,Thousand,136.7
PEA01,Population Estimates (Persons in April),1953,1953,265,10 - 14 years,2,Female,Thousand,131.9
PEA01,Population Estimates (Persons in April),1953,1953,300,15 - 19 years,-,Both sexes,Thousand,238.6
PEA01,Population Estimates (Persons in April),1953,1953,300,15 - 19 years,1,Male,Thousand,124.5
PEA01,Population Estimates (Persons in April),1953,1953,300,15 - 19 years,2,Female,Thousand,114.1
PEA01,Population Estimates (Persons in April),1953,1953,365,20 - 24 years,-,Both sexes,Thousand,193.7
PEA01,Population Estimates (Persons in April),1953,1953,365,20 - 24 years,1,Male,Thousand,100.4
PEA01,Population Estimates (Persons in April),1953,1953,365,20 - 24 years,2,Female,Thousand,93.3
PEA01,Population Estimates (Persons in April),1953,1953,410,25 - 29 years,-,Both sexes,Thousand,187.7
PEA01,Population Estimates (Persons in April),1953,1953,410,25 - 29 years,1,Male,Thousand,93.8
PEA01,Population Estimates (Persons in April),1953,1953,410,25 - 29 years,2,Female,Thousand,93.9
PEA01,Population Estimates (Persons in April),1953,1953,440,30 - 34 years,-,Both sexes,Thousand,185.8
PEA01,Population Estimates (Persons in April),1953,1953,440,30 - 34 years,1,Male,Thousand,92.9
PEA01,Population Estimates (Persons in April),1953,1953,440,30 - 34 years,2,Female,Thousand,92.9
PEA01,Population Estimates (Persons in April),1953,1953,460,35 - 39 years,-,Both sexes,Thousand,194.1
PEA01,Population Estimates (Persons in April),1953,1953,460,35 - 39 years,1,Male,Thousand,97.5
PEA01,Population Estimates (Persons in April),1953,1953,460,35 - 39 years,2,Female,Thousand,96.6
PEA01,Population Estimates (Persons in April),1953,1953,475,40 - 44 years,-,Both sexes,Thousand,183
PEA01,Population Estimates (Persons in April),1953,1953,475,40 - 44 years,1,Male,Thousand,94.6
PEA01,Population Estimates (Persons in April),1953,1953,475,40 - 44 years,2,Female,Thousand,88.4
PEA01,Population Estimates (Persons in April),1953,1953,495,45 - 49 years,-,Both sexes,Thousand,166.4
PEA01,Population Estimates (Persons in April),1953,1953,495,45 - 49 years,1,Male,Thousand,85.5
PEA01,Population Estimates (Persons in April),1953,1953,495,45 - 49 years,2,Female,Thousand,80.9
PEA01,Population Estimates (Persons in April),1953,1953,515,50 - 54 years,-,Both sexes,Thousand,157.3
PEA01,Population Estimates (Persons in April),1953,1953,515,50 - 54 years,1,Male,Thousand,80.5
PEA01,Population Estimates (Persons in April),1953,1953,515,50 - 54 years,2,Female,Thousand,76.8
PEA01,Population Estimates (Persons in April),1953,1953,530,55 - 59 years,-,Both sexes,Thousand,138.8
PEA01,Population Estimates (Persons in April),1953,1953,530,55 - 59 years,1,Male,Thousand,70.2
PEA01,Population Estimates (Persons in April),1953,1953,530,55 - 59 years,2,Female,Thousand,68.6
PEA01,Population Estimates (Persons in April),1953,1953,550,60 - 64 years,-,Both sexes,Thousand,120.5
PEA01,Population Estimates (Persons in April),1953,1953,550,60 - 64 years,1,Male,Thousand,60.2
PEA01,Population Estimates (Persons in April),1953,1953,550,60 - 64 years,2,Female,Thousand,60.3
PEA01,Population Estimates (Persons in April),1953,1953,565,65 - 69 years,-,Both sexes,Thousand,108.6
PEA01,Population Estimates (Persons in April),1953,1953,565,65 - 69 years,1,Male,Thousand,54.9
PEA01,Population Estimates (Persons in April),1953,1953,565,65 - 69 years,2,Female,Thousand,53.7
PEA01,Population Estimates (Persons in April),1953,1953,580,70 - 74 years,-,Both sexes,Thousand,97.7
PEA01,Population Estimates (Persons in April),1953,1953,580,70 - 74 years,1,Male,Thousand,47.8
PEA01,Population Estimates (Persons in April),1953,1953,580,70 - 74 years,2,Female,Thousand,49.9
PEA01,Population Estimates (Persons in April),1953,1953,595,75 - 79 years,-,Both sexes,Thousand,65.4
PEA01,Population Estimates (Persons in April),1953,1953,595,75 - 79 years,1,Male,Thousand,32.1
PEA01,Population Estimates (Persons in April),1953,1953,595,75 - 79 years,2,Female,Thousand,33.3
PEA01,Population Estimates (Persons in April),1953,1953,610,80 - 84 years,-,Both sexes,Thousand,31.6
PEA01,Population Estimates (Persons in April),1953,1953,610,80 - 84 years,1,Male,Thousand,14.9
PEA01,Population Estimates (Persons in April),1953,1953,610,80 - 84 years,2,Female,Thousand,16.7
PEA01,Population Estimates (Persons in April),1953,1953,630,85 years and over,-,Both sexes,Thousand,14.5
PEA01,Population Estimates (Persons in April),1953,1953,630,85 years and over,1,Male,Thousand,6.2
PEA01,Population Estimates (Persons in April),1953,1953,630,85 years and over,2,Female,Thousand,8.3
PEA01,Population Estimates (Persons in April),1954,1954,205,0 - 4 years,-,Both sexes,Thousand,
PEA01,Population Estimates (Persons in April),1954,1954,205,0 - 4 years,1,Male,Thousand,
PEA01,Population Estimates (Persons in April),1954,1954,205,0 - 4 years,2,Female,Thousand,
PEA01,Population Estimates (Persons in April),1954,1954,245,5 - 9 years,-,Both sexes,Thousand,292
PEA01,Population Estimates (Persons in April),1954,1954,245,5 - 9 years,1,Male,Thousand,149.7
PEA01,Population Estimates (Persons in April),1954,1954,245,5 - 9 years,2,Female,Thousand,142.3
PEA01,Population Estimates (Persons in April),1954,1954,265,10 - 14 years,-,Both sexes,Thousand,272.1
PEA01,Population Estimates (Persons in April),1954,1954,265,10 - 14 years,1,Male,Thousand,138.5
PEA01,Population Estimates (Persons in April),1954,1954,265,10 - 14 years,2,Female,Thousand,133.6
PEA01,Population Estimates (Persons in April),1954,1954,300,15 - 19 years,-,Both sexes,Thousand,237.1
PEA01,Population Estimates (Persons in April),1954,1954,300,15 - 19 years,1,Male,Thousand,123.8
PEA01,Population Estimates (Persons in April),1954,1954,300,15 - 19 years,2,Female,Thousand,113.3
PEA01,Population Estimates (Persons in April),1954,1954,365,20 - 24 years,-,Both sexes,Thousand,189.4
PEA01,Population Estimates (Persons in April),1954,1954,365,20 - 24 years,1,Male,Thousand,97.9
PEA01,Population Estimates (Persons in April),1954,1954,365,20 - 24 years,2,Female,Thousand,91.5
PEA01,Population Estimates (Persons in April),1954,1954,410,25 - 29 years,-,Both sexes,Thousand,182.2
PEA01,Population Estimates (Persons in April),1954,1954,410,25 - 29 years,1,Male,Thousand,90.9
PEA01,Population Estimates (Persons in April),1954,1954,410,25 - 29 years,2,Female,Thousand,91.3
PEA01,Population Estimates (Persons in April),1954,1954,440,30 - 34 years,-,Both sexes,Thousand,182.8
PEA01,Population Estimates (Persons in April),1954,1954,440,30 - 34 years,1,Male,Thousand,91.1
PEA01,Population Estimates (Persons in April),1954,1954,440,30 - 34 years,2,Female,Thousand,91.7
PEA01,Population Estimates (Persons in April),1954,1954,460,35 - 39 years,-,Both sexes,Thousand,190.6
PEA01,Population Estimates (Persons in April),1954,1954,460,35 - 39 years,1,Male,Thousand,95.1
PEA01,Population Estimates (Persons in April),1954,1954,460,35 - 39 years,2,Female,Thousand,95.5
PEA01,Population Estimates (Persons in April),1954,1954,475,40 - 44 years,-,Both sexes,Thousand,184.1
PEA01,Population Estimates (Persons in April),1954,1954,475,40 - 44 years,1,Male,Thousand,94.8
PEA01,Population Estimates (Persons in April),1954,1954,475,40 - 44 years,2,Female,Thousand,89.3
PEA01,Population Estimates (Persons in April),1954,1954,495,45 - 49 years,-,Both sexes,Thousand,169
PEA01,Population Estimates (Persons in April),1954,1954,495,45 - 49 years,1,Male,Thousand,87
PEA01,Population Estimates (Persons in April),1954,1954,495,45 - 49 years,2,Female,Thousand,82
PEA01,Population Estimates (Persons in April),1954,1954,515,50 - 54 years,-,Both sexes,Thousand,154.4
PEA01,Population Estimates (Persons in April),1954,1954,515,50 - 54 years,1,Male,Thousand,79.3
PEA01,Population Estimates (Persons in April),1954,1954,515,50 - 54 years,2,Female,Thousand,75.1
PEA01,Population Estimates (Persons in April),1954,1954,530,55 - 59 years,-,Both sexes,Thousand,143.6
PEA01,Population Estimates (Persons in April),1954,1954,530,55 - 59 years,1,Male,Thousand,72.7
PEA01,Population Estimates (Persons in April),1954,1954,530,55 - 59 years,2,Female,Thousand,70.9
PEA01,Population Estimates (Persons in April),1954,1954,550,60 - 64 years,-,Both sexes,Thousand,119.7
PEA01,Population Estimates (Persons in April),1954,1954,550,60 - 64 years,1,Male,Thousand,59.7
PEA01,Population Estimates (Persons in April),1954,1954,550,60 - 64 years,2,Female,Thousand,60
PEA01,Population Estimates (Persons in April),1954,1954,565,65 - 69 years,-,Both sexes,Thousand,109
PEA01,Population Estimates (Persons in April),1954,1954,565,65 - 69 years,1,Male,Thousand,55.2
PEA01,Population Estimates (Persons in April),1954,1954,565,65 - 69 years,2,Female,Thousand,53.8
PEA01,Population Estimates (Persons in April),1954,1954,580,70 - 74 years,-,Both sexes,Thousand,96.3
PEA01,Population Estimates (Persons in April),1954,1954,580,70 - 74 years,1,Male,Thousand,47.1
PEA01,Population Estimates (Persons in April),1954,1954,580,70 - 74 years,2,Female,Thousand,49.2
PEA01,Population Estimates (Persons in April),1954,1954,595,75 - 79 years,-,Both sexes,Thousand,65.8
PEA01,Population Estimates (Persons in April),1954,1954,595,75 - 79 years,1,Male,Thousand,32.3
PEA01,Population Estimates (Persons in April),1954,1954,595,75 - 79 years,2,Female,Thousand,33.5
PEA01,Population Estimates (Persons in April),1954,1954,610,80 - 84 years,-,Both sexes,Thousand,32.1
PEA01,Population Estimates (Persons in April),1954,1954,610,80 - 84 years,1,Male,Thousand,15.1
PEA01,Population Estimates (Persons in April),1954,1954,610,80 - 84 years,2,Female,Thousand,17
PEA01,Population Estimates (Persons in April),1954,1954,630,85 years and over,-,Both sexes,Thousand,15.1
PEA01,Population Estimates (Persons in April),1954,1954,630,85 years and over,1,Male,Thousand,6.6
PEA01,Population Estimates (Persons in April),1954,1954,630,85 years and over,2,Female,Thousand,8.5
PEA01,Population Estimates (Persons in April),1955,1955,205,0 - 4 years,-,Both sexes,Thousand,
PEA01,Population Estimates (Persons in April),1955,1955,205,0 - 4 years,1,Male,Thousand,
PEA01,Population Estimates (Persons in April),1955,1955,205,0 - 4 years,2,Female,Thousand,
PEA01,Population Estimates (Persons in April),1955,1955,245,5 - 9 years,-,Both sexes,Thousand,294.3
PEA01,Population Estimates (Persons in April),1955,1955,245,5 - 9 years,1,Male,Thousand,150.8
PEA01,Population Estimates (Persons in April),1955,1955,245,5 - 9 years,2,Female,Thousand,143.5
PEA01,Population Estimates (Persons in April),1955,1955,265,10 - 14 years,-,Both sexes,Thousand,274.6
PEA01,Population Estimates (Persons in April),1955,1955,265,10 - 14 years,1,Male,Thousand,139.6
PEA01,Population Estimates (Persons in April),1955,1955,265,10 - 14 years,2,Female,Thousand,135
PEA01,Population Estimates (Persons in April),1955,1955,300,15 - 19 years,-,Both sexes,Thousand,234.7
PEA01,Population Estimates (Persons in April),1955,1955,300,15 - 19 years,1,Male,Thousand,122.4
PEA01,Population Estimates (Persons in April),1955,1955,300,15 - 19 years,2,Female,Thousand,112.3
PEA01,Population Estimates (Persons in April),1955,1955,365,20 - 24 years,-,Both sexes,Thousand,184.3
PEA01,Population Estimates (Persons in April),1955,1955,365,20 - 24 years,1,Male,Thousand,94.8
PEA01,Population Estimates (Persons in April),1955,1955,365,20 - 24 years,2,Female,Thousand,89.5
